Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 03, 2018",4147.32,4155.98,3840.45,3894.13,5089570994,67779050170
"Dec 02, 2018",4200.73,4301.52,4110.98,4139.88,5262697895,72050487506
"Dec 01, 2018",4024.46,4309.38,3969.71,4214.67,5375314093,73346194969
"Nov 30, 2018",4289.09,4322.98,3942.82,4017.27,6048016717,69904637061
"Nov 29, 2018",4269,4413.02,4145.77,4278.85,6503347767,74451016927
"Nov 28, 2018",3822.47,4385.9,3822.47,4257.42,7280280000,74072560088
"Nov 27, 2018",3765.95,3862.96,3661.01,3820.72,5998720000,66468970322
"Nov 26, 2018",4015.07,4107.14,3643.92,3779.13,6476900000,65739289046
"Nov 25, 2018",3880.78,4120.87,3585.06,4009.97,6825640000,69749265801
"Nov 24, 2018",4347.69,4413.09,3795.16,3880.76,4679500000,67495633205
"Nov 23, 2018",4360.7,4396.42,4195.68,4347.11,4871490000,75598851166
"Nov 22, 2018",4611.57,4629.64,4365.64,4365.94,4569370000,75919439809
"Nov 21, 2018",4465.54,4675.73,4343.98,4602.17,6120120000,80020171047
"Nov 20, 2018",4863.93,4951.61,4272.11,4451.87,8428290000,77401044320
"Nov 19, 2018",5620.78,5620.78,4842.91,4871.49,7039560000,84688539692
"Nov 18, 2018",5559.74,5653.61,5559.74,5623.54,4159680000,97753714643
"Nov 17, 2018",5578.58,5578.58,5519.56,5554.33,4303150000,96542098114
"Nov 16, 2018",5645.32,5657.02,5498.94,5575.55,5279320000,96900828780
"Nov 15, 2018",5736.15,5774.82,5358.38,5648.03,7032140000,98151606541
"Nov 14, 2018",6351.24,6371.55,5544.09,5738.35,7398940000,99712077259
"Nov 13, 2018",6373.19,6395.27,6342.67,6359.49,4503800000,1.10494E+11
"Nov 12, 2018",6411.76,6434.21,6360.47,6371.27,4295770000,1.1069E+11
"Nov 11, 2018",6413.63,6423.25,6350.17,6411.27,3939060000,1.11373E+11
"Nov 10, 2018",6386.13,6437.28,6385.31,6409.22,3705320000,1.11326E+11
